gene,status,prob_rf,prob_logit_Ada,pred_rf,pred_logit_PR,SUM_PR
LOC_Os03g50290,0,0.586321,0.786534107,0,0,0
LOC_Os04g38870,1,0.849569,0.999218944,1,1,2
LOC_Os08g33370,0,0.631327,0.999097471,0,1,1
LOC_Os08g37490,0,0.609197,0.978017946,0,1,1
LOC_Os02g36974,0,0.656264,0.972327146,0,1,1
LOC_Os06g46770,0,0.497561,0.284158931,0,0,0
LOC_Os11g34450,1,0.845709,0.936526349,1,1,2
LOC_Os09g30412,1,0.819138,1,1,1,2
LOC_Os05g42424,0,0.511632,0.829265164,0,0,0
LOC_Os02g39720,0,0.496369,1,0,1,1
LOC_Os02g06640,0,0.511792,0.952436037,0,1,1
LOC_Os01g68940,0,0.483911,0.151553833,0,0,0
LOC_Os03g17710,0,0.5121,1,0,1,1
LOC_Os04g02870,0,0.503213,1,0,1,1
LOC_Os03g60620,0,0.490447,0.9999,0,1,1
LOC_Os05g02880,0,0.540427,0.999850804,0,1,1
LOC_Os11g47760,1,0.805526,1,1,1,2
LOC_Os07g47630,0,0.530709,1,0,1,1
LOC_Os03g22380,0,0.533869,1,0,1,1
LOC_Os05g30140,0,0.484533,1,0,1,1
LOC_Os02g58730,0,0.491655,0.205411779,0,0,0
LOC_Os09g12800,0,0.51737,0.987056965,0,1,1
LOC_Os06g35814,0,0.504575,0.035831581,0,0,0
LOC_Os05g08840,0,0.490969,1,0,1,1
LOC_Os07g41180,0,0.469047,0.996792821,0,1,1
LOC_Os03g13970,0,0.473682,1,0,1,1
LOC_Os01g16190,0,0.506279,1,0,1,1
LOC_Os01g21420,0,0.489643,1,0,1,1
LOC_Os05g38530,0,0.474223,0.963000174,0,1,1
LOC_Os02g50860,0,0.504159,2.22E-16,0,0,0
LOC_Os01g06290,0,0.523838,0.999899386,0,1,1
LOC_Os01g12900,0,0.494207,0.036006159,0,0,0
LOC_Os01g73310,0,0.4687,0.9999,0,1,1
LOC_Os03g02680,1,0.826313,1,1,1,2
LOC_Os08g04270,0,0.486463,0.748264908,0,0,0
LOC_Os03g60530,0,0.613571,0.0001,0,0,0
LOC_Os01g68950,0,0.486564,0.474559273,0,0,0
LOC_Os08g42580,0,0.499524,0.00299713,0,0,0
LOC_Os07g31370,0,0.548483,2.22E-16,0,0,0
LOC_Os01g14950,0,0.486733,0.968811208,0,1,1
LOC_Os06g06090,1,0.818667,0.911804937,1,1,2
LOC_Os07g02350,0,0.527998,0.249590302,0,0,0
LOC_Os03g01850,0,0.508731,0.989824604,0,1,1
LOC_Os03g29470,0,0.525051,0.323019914,0,0,0
LOC_Os02g02840,0,0.501953,0.005335141,0,0,0
LOC_Os03g18080,0,0.493161,0.741158818,0,0,0
LOC_Os01g08560,0,0.490358,1,0,1,1
LOC_Os10g06740,0,0.504707,0.258525021,0,0,0
LOC_Os05g38630,0,0.590567,2.22E-16,0,0,0
LOC_Os03g16860,0,0.522135,0.752821694,0,0,0
LOC_Os03g30550,0,0.520512,0.990723155,0,1,1
LOC_Os01g16240,0,0.477046,0.001000021,0,0,0
LOC_Os09g15750,0,0.502993,0.810020016,0,0,0
LOC_Os02g03040,0,0.520608,0.848514936,0,1,1
LOC_Os03g59590,0,0.543778,0.002507494,0,0,0
LOC_Os06g48640,0,0.535386,0.05450314,0,0,0
LOC_Os02g34884,0,0.479182,0.580720759,0,0,0
LOC_Os05g43820,0,0.547993,0.000800001,0,0,0
LOC_Os09g10940,0,0.502195,0.001265423,0,0,0
LOC_Os05g41060,0,0.502039,2.22E-16,0,0,0
LOC_Os02g08530,0,0.518157,0.000239633,0,0,0
LOC_Os10g25090,0,0.505832,0.330414714,0,0,0
LOC_Os11g20384,0,0.475352,0.88248566,0,1,1
LOC_Os04g53620,0,0.514416,0.576342523,0,0,0
LOC_Os03g08550,0,0.496546,0.324092695,0,0,0
LOC_Os07g12170,0,0.463683,2.22E-16,0,0,0
LOC_Os02g14130,0,0.465328,0.49755824,0,0,0
LOC_Os03g11570,0,0.525546,0.999422263,0,1,1
LOC_Os07g13530,0,0.503078,0.007096048,0,0,0
LOC_Os04g30430,0,0.515409,0.984417984,0,1,1
LOC_Os03g09140,0,0.542368,0.000198094,0,0,0
LOC_Os03g60870,1,0.817823,2.22E-16,1,0,1
LOC_Os06g45020,0,0.461642,0.996212889,0,1,1
LOC_Os04g58110,0,0.520587,2.22E-16,0,0,0
LOC_Os02g14860,0,0.50845,0.812660031,0,0,0
LOC_Os02g29480,0,0.510903,0.985790949,0,1,1
LOC_Os01g32800,0,0.468807,0.991307733,0,1,1
LOC_Os02g51180,0,0.569284,2.22E-16,0,0,0
LOC_Os12g43550,0,0.457378,0.000603936,0,0,0
LOC_Os04g35890,0,0.486096,0.046130673,0,0,0
LOC_Os02g20850,0,0.512677,2.22E-16,0,0,0
