name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,dataset 1 (728 proteins),dataset 2 (133 proteins),Degree,Eccentricity,IsSingleNode,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,pathways,Radiality,selected,SelfLoops,shared name,status D1,status D2,Stress,TopologicalCoefficient,Unweighted graph predicted proteins (dataset 1),Unweighted graph predicted proteins (dataset 2),Weighted graph predicted proteins (dataset 1),Weighted graph predicted proteins (dataset 2)
LOC_Os02g17230,4.982121089,0,0.200717723,0,0,0,1,10,false,2,0,1,0,indole-3-acetate biosynthesis I,0.998487611,false,0,LOC_Os02g17230,N/A,HIGH CONFIDENCE,0,0,0,1,0,1
LOC_Os03g15440,5.306843908,0,0.188435917,0,0,0,1,10,false,3,0,1,0,,0.998364283,false,0,LOC_Os03g15440,MEDIUM CONFIDENCE (Unweighted),HIGH CONFIDENCE,0,0,1,1,0,1
LOC_Os01g43680,5.306843908,0,0.188435917,0,0,0,1,10,false,3,0,1,0,,0.998364283,false,0,LOC_Os01g43680,MEDIUM CONFIDENCE (Unweighted),MEDIUM CONFIDENCE (Unweighted),0,0,1,1,0,0
LOC_Os11g02320,4.230278052,0,0.236391081,0,0,0,1,9,false,7,0,1,0,,0.998773157,false,0,LOC_Os11g02320,N/A,N/A,0,0,0,0,0,0
LOC_Os06g02200,4.615545365,0,0.216659121,0,0,0,1,9,false,4,0,1,0,aerobic respiration I (cytochrome c),0.998626834,false,0,LOC_Os06g02200,N/A,MEDIUM CONFIDENCE (Weighted),0,0,0,0,0,1
LOC_Os11g10740,4.615545365,0,0.216659121,0,0,0,1,9,false,4,0,1,0,aerobic respiration I (cytochrome c),0.998626834,false,0,LOC_Os11g10740,N/A,N/A,0,0,0,0,0,0
LOC_Os11g47830,3.686422476,0,0.271265707,0,0,0,1,8,false,78,0,1,0,,0.99897971,false,0,LOC_Os11g47830,N/A,N/A,0,0,0,0,0,0
LOC_Os05g39410,3.867823765,0,0.258543321,0,0,0,1,8,false,54,0,1,0,,0.998910815,false,0,LOC_Os05g39410,N/A,N/A,0,0,0,0,0,0
LOC_Os11g43980,5.474545771,0,0.182663556,0,0,0,1,10,false,3,0,1,0,,0.99830059,false,0,LOC_Os11g43980,N/A,N/A,0,0,0,0,0,0
LOC_Os10g39910,5.367330354,0,0.186312363,0,0,0,1,10,false,2,0,1,0,,0.99834131,false,0,LOC_Os10g39910,N/A,N/A,0,0,0,0,0,0
LOC_Os12g34012,4.461659024,0,0.224131874,0,0,0,1,9,false,6,0,1,0,,0.99868528,false,0,LOC_Os12g34012,N/A,N/A,0,0,0,0,0,0
LOC_Os01g34920,4.782318454,0,0.209103599,0,0,0,1,9,false,5,0,1,0,,0.998563495,false,0,LOC_Os01g34920,HIGH CONFIDENCE,MEDIUM CONFIDENCE (Weighted),0,0,1,0,1,1
LOC_Os03g55410,7.164973588,0,0.139567856,0,0,0,1,11,false,2,0,1,0,,0.997658574,false,0,LOC_Os03g55410,N/A,N/A,0,0,0,0,0,0
LOC_Os09g31025,4.880710513,0,0.204888202,1,0,0,2,9,false,5,0,2,0,,0.998526126,false,0,LOC_Os09g31025,HIGH CONFIDENCE,N/A,0,0.833333333,1,0,1,0
LOC_Os08g40690,4.880768561,0,0.204885765,0,1,0,1,9,false,6,0,1,0,,0.998526104,false,0,LOC_Os08g40690,TRAINING,MEDIUM CONFIDENCE (Weighted),0,0,1,0,1,1
LOC_Os09g30490,5.880536367,0,0.170052515,0,1,0,1,10,false,3,0,1,0,,0.998146397,false,0,LOC_Os09g30490,TRAINING,MEDIUM CONFIDENCE (Unweighted),0,0,1,1,1,0
LOC_Os09g30506,4.880594416,1.16E-04,0.204893075,0.333333333,0,0,3,9,false,3.666666667,0,3,0,,0.99852617,false,0,LOC_Os09g30506,MEDIUM CONFIDENCE (Weighted),N/A,5730240,0.555555556,0,0,1,0
LOC_Os03g55530,5.251001335,0,0.190439868,0,0,0,1,9,false,3,0,1,0,,0.998385491,false,0,LOC_Os03g55530,MEDIUM CONFIDENCE (Weighted),MEDIUM CONFIDENCE (Unweighted),0,0,0,1,1,0
LOC_Os11g32070,4.190050502,0,0.238660608,0,0,0,1,8,false,16,0,1,0,,0.998788435,false,0,LOC_Os11g32070,MEDIUM CONFIDENCE (Weighted),MEDIUM CONFIDENCE (Unweighted),0,0,0,1,1,0
LOC_Os12g33070,5.251755964,0,0.190412503,0,0,0,1,10,false,2,0,1,0,,0.998385205,false,0,LOC_Os12g33070,MEDIUM CONFIDENCE (Weighted),N/A,0,0,0,0,1,0
LOC_Os01g48570,5.378011261,0,0.18594234,0,0,0,1,10,false,3,0,1,0,,0.998337254,false,0,LOC_Os01g48570,N/A,MEDIUM CONFIDENCE (Weighted),0,0,0,0,0,1
LOC_Os03g48540,4.103616416,0,0.243687494,0,0,0,1,9,false,29,0,1,0,glucose and glucose-1-phosphate degradation,0.998821262,false,0,LOC_Os03g48540,N/A,N/A,0,0,0,0,0,0
LOC_Os10g26940,5.129099669,0,0.194965991,0,0,0,1,9,false,4,0,1,0,,0.998431789,false,0,LOC_Os10g26940,N/A,MEDIUM CONFIDENCE (Weighted),0,0,0,0,0,1
LOC_Os02g15350,5.129099669,0,0.194965991,0,0,0,1,9,false,4,0,1,0,,0.998431789,false,0,LOC_Os02g15350,N/A,HIGH CONFIDENCE,0,0,0,1,0,1
LOC_Os08g32170,6.22377663,0,0.160674147,0,0,0,1,11,false,2,0,1,0,,0.998016036,false,0,LOC_Os08g32170,HIGH CONFIDENCE,MEDIUM CONFIDENCE (Weighted),0,0,1,0,1,1
