preds_list2[[1]]$genes	prob_lda	prob_svm	prob_logit	pred_lda	pred_svm	pred_logit
LOC_Os03g50290	0.92872623931377	0.107931605209898	0.341517249092932	0	0	0
LOC_Os04g38870	0.898278320104691	0.339408219941973	0.274670976226492	0	0	0
LOC_Os08g33370	0.943688991524202	0.24501685355286	0.319886706210467	0	0	0
LOC_Os08g37490	0.902171158004129	0.146713072103786	0.321542884220653	0	0	0
LOC_Os02g36974	0.807935614949349	0.273319124811636	0.202675672817284	0	0	0
LOC_Os06g46770	0.809750758983087	0.321352769459412	0.63299633378564	0	0	0
LOC_Os11g34450	0.969899235527001	0.20542827224777	0.211201342662379	0	0	0
LOC_Os09g30412	0.255683645786772	0.136188942495457	0.806893192475886	0	0	0
LOC_Os05g42424	0.843749200992359	0.271040938743841	0.662317065309585	0	0	0
LOC_Os02g39720	0.752715669805884	0.354947290679928	0.578186430830944	0	0	0
LOC_Os02g06640	0.870913599833526	0.265740165995449	0.596182589842474	0	0	0
LOC_Os01g68940	0.962611213337892	0.121144234122737	0.538947815125913	0	0	0
LOC_Os03g17710	0.462280076642148	0.387992806154611	0.687588549581552	0	0	0
LOC_Os03g60620	0.679768916219814	0.106333444097564	0.300131478779788	0	0	0
LOC_Os11g47760	0.684029838615974	0.119647956421489	0.345589945744295	0	0	0
LOC_Os04g02870	0.610411261206028	0.333325971846893	0.603234008203617	0	0	0
LOC_Os05g02880	0.349085606861583	0.233686087026343	0.496195150858821	0	0	0
LOC_Os07g47630	0.505836325890674	0.376125912840423	0.734140656838262	0	0	0
LOC_Os05g30140	0.44917378973587	0.38353033064434	0.720466041621032	0	0	0
LOC_Os02g58730	0.834087702989799	0.0781363788293039	0.241933186462355	0	1	0
LOC_Os06g35814	0.860299560475354	0.0756232739739267	0.0348052642768188	0	1	1
LOC_Os03g22380	0.368630560082225	0.465604104644449	0.589478300236096	0	0	0
LOC_Os09g12800	0.463825072305413	0.340511078027314	0.681932650353247	0	0	0
LOC_Os05g08840	0.179780312531407	0.116457176013721	0.331294661993603	0	0	0
LOC_Os03g13970	0.383520387120974	0.126608648146228	0.660940022657819	0	0	0
LOC_Os07g41180	0.0601424939726257	0.146889253608871	0.755960857549368	1	0	0
LOC_Os01g21420	0.809312523212299	0.350800173741806	0.556974568598083	0	0	0
LOC_Os05g38530	0.721182475334805	0.211174161500034	0.324799636935467	0	0	0
LOC_Os01g16190	0.426737484307879	0.245488485526033	0.541735783350399	0	0	0
LOC_Os02g50860	0.592687614840759	0.185195724035585	0.247364251815592	0	0	0
LOC_Os01g06290	0.739144762161552	0.314887496431633	0.560964697915693	0	0	0
LOC_Os01g12900	0.440199427988207	0.205402904080377	0.169041774389425	0	0	0
LOC_Os08g04270	0.828629201587818	0.0374035862612343	0.451794736604328	0	1	0
LOC_Os03g02680	0.695803206711475	0.0709169535360641	0.464326657241825	0	1	0
LOC_Os01g68950	0.857615753242939	0.248102487807082	0.508896344943792	0	0	0
LOC_Os01g73310	0.78600791938465	0.342926304696266	0.307052400776808	0	0	0
LOC_Os03g60530	0.903288818102021	0.0867897695131921	0.521023667848193	0	1	0
LOC_Os08g42580	0.424314008568656	0.190547018129457	0.292414315821825	0	0	0
LOC_Os07g31370	0.677419936151363	0.0784295267653592	0.606998425752541	0	1	0
LOC_Os01g14950	0.428123230588233	0.227085527028582	0.420554719207616	0	0	0
LOC_Os06g06090	0.223414999988409	0.272256478811515	0.813332620061019	0	0	0
LOC_Os10g06740	0.478476494983985	0.231891302272776	0.426051212607173	0	0	0
LOC_Os02g02840	0.490441346018907	0.295286135276665	0.449350037501387	0	0	0
LOC_Os07g02350	0.476290054783973	0.0676441776581551	0.577845560413857	0	1	0
LOC_Os05g38630	0.901633154069656	0.0575991809725541	0.228430222925503	0	1	0
LOC_Os03g18080	0.21056906952955	0.366310584487387	0.873011970534654	0	0	0
LOC_Os01g08560	0.242501155217094	0.343377342492322	0.713636771868274	0	0	0
LOC_Os03g16860	0.802762894263077	0.202416159320694	0.173217603463672	0	0	0
LOC_Os03g01850	0.583654004400236	0.0596116426801942	0.551490133613797	0	1	0
LOC_Os03g29470	0.472363789215721	0.0482447163370693	0.554322803478761	0	1	0
LOC_Os09g15750	0.21753492415412	0.15045169109721	0.550301498813912	0	0	0
LOC_Os03g59590	0.914472502672293	0.0226783948903057	0.459699379845762	0	1	0
LOC_Os01g16240	0.983008756427437	0.26641737694311	0.140428574904414	0	0	0
LOC_Os05g41060	0.539061667235988	0.205836346798627	0.668988286747326	0	0	0
LOC_Os02g03040	0.945551808156423	0.0754080669956506	0.0698826328134384	0	1	1
LOC_Os10g25090	0.0884078546128148	0.297626112599862	0.206383519808638	1	0	0
LOC_Os03g30550	0.158137689662248	0.254223162906488	0.749903356899922	0	0	0
LOC_Os09g10940	0.759133322054056	0.149416212906996	0.0650623157836251	0	0	1
LOC_Os11g20384	0.253891853853753	0.342673969027321	0.845743879058852	0	0	0
LOC_Os02g14130	0.37728089984409	0.193220459698254	0.900875798865072	0	0	0
LOC_Os06g48640	0.314729371331323	0.130261742447607	0.29577885269785	0	0	0
LOC_Os05g43820	0.638258910907176	0.124070532028434	0.0891873566102635	0	0	1
LOC_Os03g11570	0.171063759302356	0.528507555152581	0.229130098790345	0	0	0
LOC_Os04g53620	0.701687221390746	0.489076981619719	0.820144585584777	0	0	0
LOC_Os02g34884	0.280369933449894	0.403702623966769	0.821523679555586	0	0	0
LOC_Os07g13530	0.977676905787178	0.12724523224514	0.398138627237727	0	0	0
LOC_Os02g08530	0.838655094372883	0.20468195405513	0.246727021747767	0	0	0
LOC_Os03g60870	0.981890989108302	0.157745465456717	0.085227532486029	0	0	1
LOC_Os04g58110	0.575915496959493	0.217697974980538	0.318892240264484	0	0	0
LOC_Os03g08550	0.145487909472525	0.296397329289865	0.345915146202639	0	0	0
LOC_Os07g12170	0.797404845238795	0.194848614070154	0.675905704024638	0	0	0
LOC_Os03g09140	0.7593714932904	0.151915717450045	0.57525675075266	0	0	0
LOC_Os04g30430	0.0630024754985849	0.209077808100975	0.739995351822743	1	0	0
LOC_Os02g14860	0.16085546390983	0.203193736386367	0.15453872773086	0	0	0
LOC_Os12g43550	0.476107413064039	0.215463041408685	0.509283703414944	0	0	0
LOC_Os04g53240	0.637931516495584	0.305028398611405	0.809454850190845	0	0	0
LOC_Os01g32800	0.120947332897315	0.475689568257527	0.331275028082363	0	0	0
LOC_Os06g45020	0.151240035330269	0.27970580304187	0.350342346016059	0	0	0
LOC_Os02g29480	0.151416215581339	0.325184733562066	0.884986570943441	0	0	0
LOC_Os05g30800	0.474007176988601	0.170885590652157	0.344015723064652	0	0	0
LOC_Os02g51180	0.228206242868116	0.120243233372266	0.510744040577993	0	0	0
LOC_Os01g62290	0.834590523743248	0.327925918737061	0.169202656950308	0	0	0
LOC_Os04g35890	0.629471093701727	0.265767211922566	0.251343908159143	0	0	0
LOC_Os02g20850	0.620242257327823	0.338856554662866	0.384013282361523	0	0	0
LOC_Os02g40880	0.480497484592873	0.0461949327632488	0.573731617799319	0	1	0
LOC_Os10g38950	0.281007030750409	0.14666362760956	0.761607643248189	0	0	0
LOC_Os11g01380	0.257116140570379	0.131902426772567	0.820816536004827	0	0	0
LOC_Os05g48980	0.631384012209317	0.189877230900744	0.287442656728257	0	0	0
LOC_Os03g16110	0.522423467532594	0.109659039255352	0.28553336892716	0	0	0
LOC_Os06g17285	0.0715537775604235	0.300328226101819	0.437312810625978	1	0	0
LOC_Os05g06350	0.240591038164512	0.269831299122813	0.789873764269828	0	0	0
LOC_Os03g46390	0.488144703828886	0.26851501576402	0.492827541161171	0	0	0
LOC_Os06g35530	0.380963313088131	0.151475135462609	0.894888420469364	0	0	0
LOC_Os05g44050	0.878412940642507	0.0663015513346493	0.193443342557073	0	1	0
LOC_Os03g45270	0.390115927812785	0.502639623817753	0.201271846872548	0	0	0
LOC_Os02g57080	0.325734697560908	0.108411408001355	0.399872481759448	0	0	0
LOC_Os06g37180	0.652518060413234	0.175060169179077	0.49438226371018	0	0	0
LOC_Os10g30520	0.763171746876564	0.119879087923502	0.724175495869051	0	0	0
LOC_Os06g38470	0.7483209288951	0.190535395431121	0.626327214988053	0	0	0
LOC_Os05g01600	0.546157718851634	0.450448706978887	0.27930541423196	0	0	0
LOC_Os03g26460	0.464232256079634	0.52071889810258	0.077739507313243	0	0	1
LOC_Os07g09680	0.978410318559264	0.0592000801586028	0.26421238796739	0	1	0
LOC_Os05g01020	0.688721653916043	0.0907851930757326	0.482633204542951	0	1	0
LOC_Os01g16960	0.745294632053909	0.267019623328835	0.326906131332389	0	0	0
LOC_Os04g43150	0.108858056814207	0.299574005890744	0.798089926261504	0	0	0
LOC_Os04g47240	0.658140301769662	0.10163348859851	0.682185006857483	0	0	0
LOC_Os01g51700	0.901725219234836	0.103046360679173	0.162153690554644	0	0	0
LOC_Os08g07400	0.31761253366565	0.168131421105906	0.497052950970527	0	0	0
LOC_Os05g49890	0.809705740755348	0.163514368566458	0.67932148420794	0	0	0
LOC_Os01g08450	0.857579033569779	0.0860847746925165	0.115433892179771	0	1	0
LOC_Os09g19700	0.417608466423642	0.0703320179663682	0.317913197287236	0	1	0
LOC_Os12g01390	0.146230779886131	0.143904678618877	0.805685549298061	0	0	0
LOC_Os08g15040	0.974848022618649	0.050415949464001	0.700956917346399	0	1	0
LOC_Os05g23600	0.787851910377594	0.100432412877979	0.133442364060338	0	0	0
LOC_Os03g43760	0.895075180592957	0.221947243988166	0.272710916649954	0	0	0
LOC_Os06g45300	0.911622608295443	0.115006998221624	0.381784430578249	0	0	0
LOC_Os05g01040	0.321456626037602	0.121095221737509	0.251640007527205	0	0	0
LOC_Os07g42450	0.293071019260479	0.111743876954432	0.351739983014407	0	0	0
LOC_Os03g08440	0.624133864049046	0.077207194419412	0.330318918154784	0	1	0
LOC_Os01g49290	0.883443010481105	0.13226428012316	0.614011395766053	0	0	0
LOC_Os01g62570	0.934222630424216	0.0254846204713779	0.276670647478248	0	1	0
LOC_Os06g36770	0.793581064937571	0.128967509896627	0.66514327196565	0	0	0
LOC_Os01g59790	0.611744880946469	0.193681977094549	0.71644011245375	0	0	0
LOC_Os03g19870	0.985930155363537	0.0988061501334196	0.548235526962162	0	1	0
LOC_Os07g12200	0.721406558296773	0.384499566900106	0.745456390270915	0	0	0
LOC_Os08g07760	0.328899272527295	0.13274679810494	0.263258745541321	0	0	0
LOC_Os09g32976	0.287276335025877	0.132369560707483	0.759934635573441	0	0	0
LOC_Os11g04390	0.363041932559588	0.0810653462289269	0.53852424376418	0	1	0
LOC_Os05g06990	0.358564256991216	0.680831575784121	0.489949771872573	0	0	0
LOC_Os02g53420	0.750867175643622	0.18691762154097	0.011772881520993	0	0	1
LOC_Os02g43430	0.0756018862311039	0.419267108646053	0.696456157369438	1	0	0
LOC_Os05g25540	0.0942395093264337	0.730624875515176	0.916051792979026	1	0	0
LOC_Os07g48780	0.962708958990589	0.34948446095907	0.218881057448993	0	0	0
LOC_Os07g46660	0.609531206220831	0.0377403382303099	0.205490042388934	0	1	0
LOC_Os02g07790	0.957507419371751	0.103540603254864	0.388768096208862	0	0	0
LOC_Os05g45420	0.430657312031501	0.124754209400017	0.440701347114845	0	0	0
LOC_Os03g50885	0.790769628877997	0.514069574785728	0.483592691906457	0	0	0
LOC_Os07g42626	0.138784493508793	0.308128586428887	0.235997804934681	0	0	0
LOC_Os01g51200	0.556839513461187	0.0628225894970392	0.266982902279484	0	1	0
LOC_Os07g46750	0.341433801642498	0.0898102416322299	0.461935816881881	0	1	0
LOC_Os02g13110	0.764231922741901	0.13882758849017	0.633617442443522	0	0	0
LOC_Os03g08020	0.917745960998124	0.195334585792875	0.185275746449145	0	0	0
LOC_Os08g09240	0.862635755925324	0.255104357218281	0.724327456934268	0	0	0
LOC_Os05g01480	0.777847932412914	0.296266292086735	0.214464815647776	0	0	0
LOC_Os03g08010	0.932654608672924	0.144415866511723	0.0881536260336098	0	0	1
LOC_Os01g24690	0.886684904704999	0.0552051945303272	0.42786550811876	0	1	0
LOC_Os05g11730	0.315884316935951	0.203903796585646	0.95505026445477	0	0	0
LOC_Os08g12820	0.176123235913863	0.108634627961928	0.373634633377902	0	0	0
LOC_Os11g07040	0.339933954968806	0.130282220839124	0.881674424064426	0	0	0
LOC_Os01g10840	0.47666303781724	0.169944149820517	0.924100903108289	0	0	0
LOC_Os08g27070	0.482815811574095	0.419609234330415	0.0995222928727398	0	0	1
LOC_Os01g41630	0.802576096460887	0.161590774526454	0.689955843089687	0	0	0
LOC_Os04g35600	0.624646720923524	0.241875038733854	0.343414152916757	0	0	0
LOC_Os03g25070	0.539264885846753	0.220579090433396	0.483574265964766	0	0	0
LOC_Os06g48590	0.642618681612769	0.173012971372066	0.488643102257169	0	0	0
LOC_Os05g44070	0.53075737484069	0.287564425914756	0.117356158245851	0	0	0
LOC_Os08g23710	0.529346823986309	0.0991662570673002	0.728365529675756	0	1	0
LOC_Os10g04580	0.93789747780609	0.0834107723884969	0.0459873857848129	0	1	1
LOC_Os06g36160	0.540802803648953	0.0867002777106379	0.339036052443246	0	1	0
LOC_Os10g39820	0.707035852003296	0.0730695577430834	0.894206667828217	0	1	0
LOC_Os03g29260	0.451606815813344	0.103824825215435	0.328584197316465	0	0	0
LOC_Os07g42300	0.504622450490143	0.118259888633709	0.48100363986564	0	0	0
LOC_Os01g70010	0.113851665386876	0.108878114936819	0.902352096080564	0	0	0
LOC_Os10g28230	0.274185188311294	0.0661577576904731	0.0231746047646293	0	1	1
LOC_Os08g09350	0.423408339944567	0.0467824730644545	0.387973810867048	0	1	0
LOC_Os05g26890	0.940703931719553	0.0384573522620962	0.284259403411221	0	1	0
LOC_Os04g38480	0.528529323701934	0.132608682527721	0.334558305589913	0	0	0
LOC_Os09g33600	0.653017968417948	0.0755614563408849	0.266661233020094	0	1	0
LOC_Os01g19150	0.33948406669062	0.121787488391141	0.824016907035299	0	0	0
LOC_Os12g04180	0.245425238825456	0.0913325189335552	0.429646277007308	0	1	0
LOC_Os12g41490	0.179616857273754	0.388113812215179	0.603370717928719	0	0	0
LOC_Os02g02410	0.542055206775238	0.567277328038744	0.83460106851924	0	0	0
LOC_Os05g03620	0.352316693406971	0.190259569370691	0.3292337669603	0	0	0
LOC_Os02g05480	0.413448341966819	0.309150110397996	0.774350439112067	0	0	0
LOC_Os03g08050	0.925417248831872	0.152256897721348	0.181019594919461	0	0	0
LOC_Os03g53190	0.675683047521099	0.0695227662160645	0.017846930469552	0	1	1
LOC_Os02g43690	0.717503080691971	0.0864980442257058	0.0942794082873583	0	1	1
LOC_Os07g22710	0.721320502159504	0.153844486139903	0.897570419209731	0	0	0
LOC_Os03g55600	0.201566780405191	0.177730297652607	0.905364187181377	0	0	0
LOC_Os07g44710	0.4606141174048	0.352547271044238	0.899478315402856	0	0	0
LOC_Os01g32750	0.714712041334452	0.0367055324499788	0.65816155719908	0	1	0
LOC_Os03g28410	0.580446580380052	0.125026868599887	0.419967276229537	0	0	0
LOC_Os03g59740	0.717365634433541	0.0528075439554549	0.584363704312287	0	1	0
LOC_Os02g03890	0.179082395188873	0.281508900535897	0.788634477051298	0	0	0
LOC_Os04g42270	0.814867237835908	0.0490974481449929	0.172324498251037	0	1	0
LOC_Os03g61970	0.711822191695007	0.505815193596908	0.516928996998132	0	0	0
LOC_Os10g32550	0.809213126096289	0.263093163789875	0.0689851589117152	0	0	1
LOC_Os05g47890	0.914259791914332	0.141313238509948	0.798459279501378	0	0	0
LOC_Os03g16920	0.795244683320458	0.246444834590714	0.374884769690786	0	0	0
LOC_Os03g02260	0.76478921378313	0.238911723029879	0.0138504072489853	0	0	1
LOC_Os03g06070	0.163630580800874	0.170945454480788	0.820865303689267	0	0	0
LOC_Os09g07510	0.2971347666453	0.216373716503822	0.976086112170609	0	0	0
LOC_Os02g09740	0.0958854078609679	0.342896758618211	0.652809947157434	1	0	0
LOC_Os07g08330	0.957393297117472	0.0499037170098421	0.256229333504798	0	1	0
LOC_Os10g28040	0.175140046110637	0.0612633158054735	0.57992909608056	0	1	0
LOC_Os06g12790	0.344173551769788	0.314706622151073	0.3501458985009	0	0	0
LOC_Os05g41210	0.93886488510767	0.259351481055648	0.159497818239467	0	0	0
LOC_Os02g05340	0.610199236690536	0.144770972663592	0.480960717411037	0	0	0
LOC_Os10g36650	0.506003229494036	0.56993218524687	0.363142106935971	0	0	0
LOC_Os03g59390	0.59885227783896	0.151076908049218	0.649149748705617	0	0	0
LOC_Os01g72790	0.573592218014455	0.049004519343882	0.842308444611934	0	1	0
LOC_Os12g30060	0.253192435895258	0.136150914269468	0.0774708050506498	0	0	1
LOC_Os03g17700	0.519980600742245	0.313356144604889	0.453109393446153	0	0	0
LOC_Os04g51950	0.898813879523724	0.118187069668807	0.542543707676412	0	0	0
LOC_Os05g33050	0.806369071718355	0.077040106624212	0.357908746813079	0	1	0
LOC_Os03g03150	0.384823660596692	0.270886687724022	0.819453153885544	0	0	0
LOC_Os03g20370	0.962226829403551	0.369469020813596	0.0734955871716371	0	0	1
LOC_Os03g56470	0.246149072016837	0.214981450249111	0.25843215169992	0	0	0
LOC_Os07g25420	0.658306177876613	0.143017186451611	0.913679674834139	0	0	0
LOC_Os11g06890	0.623409542290075	0.318826043395587	0.820823179118932	0	0	0
LOC_Os09g16950	0.65074709624881	0.140694353028983	0.437377733325407	0	0	0
LOC_Os04g35240	0.192300355413028	0.152960226148925	0.977853812696263	0	0	0
LOC_Os01g47730	0.593332300354408	0.228661383176053	0.0638448229398335	0	0	1
LOC_Os08g42600	0.852827433294295	0.202416315503857	0.919894878900616	0	0	0
LOC_Os05g48240	0.574711437732062	0.103927934904972	0.229534021941631	0	0	0
LOC_Os06g50030	0.843283199149559	0.26563142246158	0.569055200142244	0	0	0
LOC_Os02g57450	0.359532702752835	0.209235571657805	0.544746597760636	0	0	0
LOC_Os06g07780	0.368580072720264	0.3902601754431	0.780623283001919	0	0	0
LOC_Os12g31810	0.0158048528829076	0.207652187149548	0.67966277412118	1	0	0
LOC_Os01g07560	0.726489641624462	0.123502372703296	0.967284035079915	0	0	0
LOC_Os05g36120	0.886565482075299	0.049900350386147	0.114964815732592	0	1	0
LOC_Os06g06510	0.878930857470721	0.14129250338524	0.463036293646141	0	0	0
LOC_Os01g54590	0.737417650764578	0.298210201951222	0.214511317345237	0	0	0
LOC_Os04g42700	0.954532824567369	0.0761686972214226	0.710945852410307	0	1	0
LOC_Os12g30570	0.902408716448051	0.228957380146186	0.448660812463947	0	0	0
LOC_Os01g17190	0.767078871214036	0.250895105148803	0.223392103829673	0	0	0
LOC_Os05g34950	0.694790039666696	0.395201193430193	0.518098278362285	0	0	0
LOC_Os06g46600	0.155999226149287	0.351341984904394	0.66782212875547	0	0	0
LOC_Os09g28180	0.126266877459329	0.342142760786052	0.435323738101096	0	0	0
LOC_Os05g50190	0.939645917195269	0.127909967003271	0.643632074144913	0	0	0
LOC_Os08g42530	0.345840516526725	0.323966441461245	0.32710884394169	0	0	0
LOC_Os01g37800	0.590277599371259	0.163987404696172	0.464046194712675	0	0	0
LOC_Os11g06390	0.801497014714554	0.572088322388616	0.230820896604992	0	0	0
LOC_Os02g52250	0.721563198204989	0.0296478450402265	0.427035027240861	0	1	0
LOC_Os01g61920	0.777202251573336	0.106215111941546	0.345292480037007	0	0	0
LOC_Os05g50810	0.130476876967268	0.119971429139457	0.630914517884858	0	0	0
LOC_Os04g55030	0.211313802311574	0.184541663816223	0.552683698428743	0	0	0
LOC_Os03g38000	0.43784427022164	0.100063811969123	0.290540554980717	0	0	0
LOC_Os10g23100	0.685803653819733	0.0575111565106831	0.191189308110745	0	1	0
LOC_Os03g62500	0.228682869055812	0.236230977153538	0.831405891606384	0	0	0
LOC_Os02g20394	0.290798920149681	0.270920444865873	0.778461724257938	0	0	0
LOC_Os10g35550	0.686505486958423	0.0846429096730202	0.539960512218696	0	1	0
LOC_Os05g08360	0.932610686974248	0.0408747312547871	0.129507045426651	0	1	0
LOC_Os06g22650	0.197287975801643	0.317446739272646	0.494228969480128	0	0	0
LOC_Os02g09130	0.250890430231556	0.264416282311986	0.816055126317245	0	0	0
LOC_Os02g11840	0.416699161974534	0.223188967814413	0.146780780270541	0	0	0
LOC_Os10g06540	0.428283420977082	0.21771414976284	0.858590231524364	0	0	0
LOC_Os02g34510	0.797496901366596	0.290956637535608	0.854243538940618	0	0	0
LOC_Os05g39050	0.686168419033159	0.0899203772929159	0.286698819965549	0	1	0
LOC_Os12g07230	0.446441098245279	0.0597193106127065	0.508785363898037	0	1	0
LOC_Os02g03340	0.689975395359823	0.0257925760106468	0.310634679457538	0	1	0
LOC_Os12g39210	0.0160337632225676	0.234445412621983	0.753925566958174	1	0	0
LOC_Os12g41260	0.920502158921585	0.217504961811998	0.662034815605837	0	0	0
LOC_Os04g56070	0.799081870222497	0.176996528214698	0.561025179242331	0	0	0
LOC_Os03g55150	0.77788216310678	0.0528078821190178	0.815745147070441	0	1	0
LOC_Os03g43020	0.425450025787343	0.0969901600194833	0.179905454613978	0	1	0
