preds_list2[[1]]$genes	prob_lda	prob_svm	prob_logit	pred_lda	pred_svm	pred_logit
LOC_Os03g50290	0.937863510711859	0.0885055972826659	0.267503317417927	0	1	0
LOC_Os04g38870	0.972580331410486	0.258866605174515	0.293232982048339	0	0	0
LOC_Os08g33370	0.918278191359029	0.172618670200466	0.289095603714935	0	0	0
LOC_Os02g36974	0.975359468754413	0.213041027189153	0.211253317149237	0	0	0
LOC_Os08g37490	0.887696913617462	0.157306195071717	0.329863326678381	0	0	0
LOC_Os06g46770	0.896141638519596	0.289859977872252	0.324378426463816	0	0	0
LOC_Os11g34450	0.944823654051552	0.164938323049969	0.143131532296549	0	0	0
LOC_Os09g30412	0.797901390530226	0.134137689174519	0.712770676878762	0	0	0
LOC_Os05g42424	0.609611444175911	0.239022391935932	0.255283900702002	0	0	0
LOC_Os02g39720	0.908454913114829	0.198210994719691	0.128704311183576	0	0	0
LOC_Os02g06640	0.596594684264746	0.219046201063648	0.350860751626687	0	0	0
LOC_Os01g68940	0.795907487525776	0.114696884326243	0.361083153182786	0	0	0
LOC_Os11g47760	0.509255364402347	0.13769341280641	0.496337925117786	0	0	0
LOC_Os03g60620	0.708029639244764	0.110919509204015	0.420371543061221	0	0	0
LOC_Os03g17710	0.796134224944917	0.246010452928742	0.229363373186387	0	0	0
LOC_Os04g02870	0.754394406507041	0.201045044712133	0.232975741880183	0	0	0
LOC_Os05g02880	0.864997835752223	0.154586496950141	0.311831025976595	0	0	0
LOC_Os07g47630	0.920759263569056	0.225157511355858	0.0952938965558979	0	0	1
LOC_Os05g30140	0.86190235691778	0.271156295730689	0.209791122290539	0	0	0
LOC_Os03g22380	0.923756706352983	0.283149081380908	0.219815968389606	0	0	0
LOC_Os09g12800	0.810127249663696	0.210891320635237	0.189220408570942	0	0	0
LOC_Os06g35814	0.226447921222184	0.111446252326642	0.715990977917442	0	0	0
LOC_Os02g58730	0.37987569046625	0.131703242159732	0.80115095554112	0	0	0
LOC_Os05g08840	0.586062397026585	0.129068740784001	0.597225872862077	0	0	0
LOC_Os03g13970	0.251675633512295	0.12143372592548	0.602121737325117	0	0	0
LOC_Os07g41180	0.65354673847064	0.139251275227511	0.446560294799908	0	0	0
LOC_Os01g21420	0.856820089885749	0.211659893445986	0.238110813600184	0	0	0
LOC_Os01g16190	0.619873198191593	0.161034800408319	0.633495093434052	0	0	0
LOC_Os02g50860	0.374340569357703	0.210870929417376	0.787101092367679	0	0	0
LOC_Os05g38530	0.669827297620157	0.244734521738468	0.467849181247139	0	0	0
LOC_Os01g06290	0.719243827518262	0.224497147710224	0.463116162166786	0	0	0
LOC_Os01g12900	0.453877228768069	0.235816207581891	0.466355379245014	0	0	0
LOC_Os01g73310	0.745266215808931	0.33950434489055	0.774254694394941	0	0	0
LOC_Os03g60530	0.616781908422068	0.144528832954175	0.427709275732201	0	0	0
LOC_Os08g04270	0.583952566219126	0.0687022491680822	0.220808442681125	0	1	0
LOC_Os03g02680	0.653472859792442	0.067253644672086	0.823426274591316	0	1	0
LOC_Os07g31370	0.649735110619347	0.141180264616584	0.449592493987299	0	0	0
LOC_Os08g42580	0.124050746145365	0.341968209378572	0.598281613545078	0	0	0
LOC_Os01g68950	0.968538091133647	0.174803173933324	0.197223144914933	0	0	0
LOC_Os06g06090	0.592702859517572	0.308894819890159	0.250283274488688	0	0	0
LOC_Os01g14950	0.941174708090778	0.156317276585861	0.0919542765516961	0	0	1
LOC_Os07g02350	0.616323767669596	0.071206243428846	0.826617140800523	0	1	0
LOC_Os03g16860	0.866731079824699	0.257766470017132	0.381773991595447	0	0	0
LOC_Os01g08560	0.658568586955593	0.231170414363091	0.637706284452452	0	0	0
LOC_Os02g02840	0.382166281861865	0.347747302511043	0.804269746604194	0	0	0
LOC_Os03g29470	0.335983870192221	0.0568953405352695	0.62849644196612	0	1	0
LOC_Os03g01850	0.7656246569325	0.0597755610399266	0.712855587526255	0	1	0
LOC_Os10g06740	0.672168847082141	0.206678189231824	0.261233304006967	0	0	0
LOC_Os03g18080	0.632614950095636	0.258120858444009	0.053368220330696	0	0	1
LOC_Os06g48640	0.487477049593288	0.131872568057635	0.373790821186045	0	0	0
LOC_Os05g38630	0.801507568826874	0.0882474940034841	0.35750677257175	0	1	0
LOC_Os02g03040	0.753041339816653	0.101182818425845	0.290031761409254	0	0	0
LOC_Os09g15750	0.601070569824147	0.140702486320231	0.472581740371228	0	0	0
LOC_Os03g59590	0.823692928889613	0.0408409791763102	0.175124738487917	0	1	0
LOC_Os03g30550	0.514601076985645	0.236155535630271	0.572682759342192	0	0	0
LOC_Os01g16240	0.76325711596237	0.290269754688484	0.35529216520473	0	0	0
LOC_Os04g53620	0.552366221453394	0.40993495123226	0.255321774245496	0	0	0
LOC_Os05g41060	0.777504429561078	0.438086598439608	0.734041957736267	0	0	0
LOC_Os10g25090	0.421421504998556	0.288370207865093	0.321037243189918	0	0	0
LOC_Os02g34884	0.867727228129718	0.228032916507975	0.0211700672514119	0	0	1
LOC_Os05g43820	0.287724113655546	0.195459192313395	0.729527575100798	0	0	0
LOC_Os11g20384	0.703654761666426	0.250789841578152	0.0281452980740765	0	0	1
LOC_Os09g10940	0.289209292453847	0.155161320762643	0.426461839297903	0	0	0
LOC_Os02g14130	0.128689091463947	0.202854189932132	0.584767672683097	0	0	0
LOC_Os03g08550	0.224860093217057	0.376376347457641	0.365852616497322	0	0	0
