preds_list2[[1]]$genes,1,prob_logit,pred_logit,pred_logit_PR
LOC_Os03g50290,0,0.786534107,1,0
LOC_Os04g38870,1,0.999218944,1,1
LOC_Os08g33370,0,0.999097471,1,1
LOC_Os08g37490,0,0.978017946,1,1
LOC_Os02g36974,0,0.972327146,1,1
LOC_Os06g46770,0,0.284158931,0,0
LOC_Os11g34450,1,0.936526349,1,1
LOC_Os09g30412,1,1.0,1,1
LOC_Os05g42424,0,0.829265164,1,0
LOC_Os02g39720,0,1.0,1,1
LOC_Os02g06640,0,0.952436037,1,1
LOC_Os01g68940,0,0.151553833,0,0
LOC_Os03g17710,0,1.0,1,1
LOC_Os03g60620,0,0.9999,1,1
LOC_Os11g47760,1,1.0,1,1
LOC_Os04g02870,0,1.0,1,1
LOC_Os05g02880,0,0.999850804,1,1
LOC_Os07g47630,0,1.0,1,1
LOC_Os05g30140,0,1.0,1,1
LOC_Os02g58730,0,0.205411779,0,0
LOC_Os06g35814,0,0.035831581,0,0
LOC_Os03g22380,0,1.0,1,1
LOC_Os09g12800,0,0.987056965,1,1
LOC_Os05g08840,0,1.0,1,1
LOC_Os03g13970,0,1.0,1,1
LOC_Os07g41180,0,0.996792821,1,1
LOC_Os01g21420,0,1.0,1,1
LOC_Os05g38530,0,0.963000174,1,1
LOC_Os01g16190,0,1.0,1,1
LOC_Os02g50860,0,2.22e-16,0,0
LOC_Os01g06290,0,0.999899386,1,1
LOC_Os01g12900,0,0.036006159,0,0
LOC_Os08g04270,0,0.748264908,1,0
LOC_Os03g02680,1,1.0,1,1
LOC_Os01g68950,0,0.474559273,0,0
LOC_Os01g73310,0,0.9999,1,1
LOC_Os03g60530,0,0.0001,0,0
LOC_Os08g42580,0,0.00299713,0,0
LOC_Os07g31370,0,2.22e-16,0,0
LOC_Os01g14950,0,0.968811208,1,1
LOC_Os06g06090,1,0.911804937,1,1
LOC_Os10g06740,0,0.258525021,0,0
LOC_Os02g02840,0,0.005335141,0,0
LOC_Os07g02350,0,0.249590302,0,0
LOC_Os05g38630,0,2.22e-16,0,0
LOC_Os03g18080,0,0.741158818,1,0
LOC_Os01g08560,0,1.0,1,1
LOC_Os03g16860,0,0.752821694,1,0
LOC_Os03g01850,0,0.989824604,1,1
LOC_Os03g29470,0,0.323019914,0,0
LOC_Os09g15750,0,0.810020016,1,0
LOC_Os03g59590,0,0.002507494,0,0
LOC_Os01g16240,0,0.001000021,0,0
LOC_Os05g41060,0,2.22e-16,0,0
LOC_Os02g03040,0,0.848514936,1,1
LOC_Os10g25090,0,0.330414714,0,0
LOC_Os03g30550,0,0.990723155,1,1
LOC_Os09g10940,0,0.001265423,0,0
LOC_Os11g20384,0,0.88248566,1,1
LOC_Os02g14130,0,0.49755824,0,0
LOC_Os06g48640,0,0.05450314,0,0
LOC_Os05g43820,0,0.000800001,0,0
LOC_Os03g11570,0,0.999422263,1,1
LOC_Os04g53620,0,0.576342523,0,0
LOC_Os02g34884,0,0.580720759,0,0
LOC_Os07g13530,0,0.007096048,0,0
LOC_Os02g08530,0,0.000239633,0,0
LOC_Os03g60870,1,2.22e-16,0,0
LOC_Os04g58110,0,2.22e-16,0,0
LOC_Os03g08550,0,0.324092695,0,0
LOC_Os07g12170,0,2.22e-16,0,0
LOC_Os03g09140,0,0.000198094,0,0
LOC_Os04g30430,0,0.984417984,1,1
LOC_Os02g14860,0,0.812660031,1,0
LOC_Os12g43550,0,0.000603936,0,0
LOC_Os04g53240,0,0.000190107,0,0
LOC_Os01g32800,0,0.991307733,1,1
LOC_Os06g45020,0,0.996212889,1,1
LOC_Os02g29480,0,0.985790949,1,1
LOC_Os05g30800,0,1.0,1,1
LOC_Os02g51180,0,2.22e-16,0,0
LOC_Os01g62290,0,0.99330081,1,1
LOC_Os04g35890,0,0.046130673,0,0
LOC_Os02g20850,0,2.22e-16,0,0
LOC_Os02g40880,0,0.98361177,1,1
LOC_Os10g38950,0,0.694111402,0,0
LOC_Os11g01380,0,0.975231556,1,1
LOC_Os05g48980,0,0.457151406,0,0
LOC_Os03g16110,0,0.961968689,1,1
LOC_Os06g17285,0,0.824210664,1,0
LOC_Os05g06350,0,0.988359781,1,1
LOC_Os03g46390,0,2.22e-16,0,0
LOC_Os06g35530,0,0.948500578,1,1
LOC_Os05g44050,0,2.22e-16,0,0
LOC_Os03g45270,0,0.799819407,1,0
LOC_Os02g57080,0,0.051454393,0,0
LOC_Os06g37180,1,0.916742204,1,1
LOC_Os10g30520,0,2.22e-16,0,0
LOC_Os06g38470,0,0.181448436,0,0
LOC_Os05g01600,0,1.0,1,1
LOC_Os03g26460,0,0.961985763,1,1
LOC_Os07g09680,0,2.22e-16,0,0
LOC_Os05g01020,0,0.024011398,0,0
LOC_Os01g16960,0,4.69e-10,0,0
LOC_Os04g43150,0,0.9999,1,1
LOC_Os04g47240,0,0.313049689,0,0
LOC_Os01g51700,0,2.22e-16,0,0
LOC_Os08g07400,0,0.009879078,0,0
