preds_list2[[1]]$genes,1,prob_svm,pred_svm,pred_svm_PR,prob_logit,pred_logit,pred_logit_PR
LOC_Os03g50290,0,0.159933265,0,0,0.534465826,0,0
LOC_Os04g38870,0,0.359989592,0,0,0.537029365,0,0
LOC_Os08g33370,0,0.287846178,0,0,0.516961069,0,0
LOC_Os08g37490,0,0.20728602,0,0,0.532600837,0,0
LOC_Os02g36974,0,0.297670543,0,0,0.522526912,0,0
LOC_Os06g46770,0,0.473047382,0,0,0.542385568,0,0
LOC_Os11g34450,0,0.265280579,0,0,0.534112757,0,0
LOC_Os09g30412,0,0.205363416,0,0,0.468759692,0,0
LOC_Os05g42424,0,0.354684117,0,0,0.536815721,0,0
LOC_Os02g39720,0,0.275437193,0,0,0.522781252,0,0
LOC_Os02g06640,0,0.342276273,0,0,0.534442634,0,0
LOC_Os01g68940,0,0.128755304,0,0,0.53203243,0,0
LOC_Os03g17710,0,0.316523484,0,0,0.535257993,0,0
LOC_Os03g60620,0,0.125819609,0,0,0.507313124,0,0
LOC_Os11g47760,0,0.127370476,0,0,0.508361745,0,0
LOC_Os04g02870,0,0.278007499,0,0,0.527964926,0,0
LOC_Os05g02880,0,0.248262246,0,0,0.514795944,0,0
LOC_Os07g47630,0,0.332434246,0,0,0.541185344,0,0
LOC_Os05g30140,0,0.339946841,0,0,0.523139912,0,0
LOC_Os02g58730,0,0.125773897,0,0,0.460352469,0,0
LOC_Os06g35814,0,0.279607822,0,0,0.477910449,0,0
LOC_Os03g22380,0,0.375567782,0,0,0.508043895,0,0
LOC_Os09g12800,0,0.319731938,0,0,0.51089655,0,0
LOC_Os05g08840,0,0.110588741,0,0,0.516613118,0,0
LOC_Os03g13970,0,0.129622268,0,0,0.54240064,0,0
LOC_Os07g41180,0,0.191718727,0,0,0.534508749,0,0
LOC_Os01g21420,0,0.302213632,0,0,0.521515033,0,0
LOC_Os05g38530,0,0.22205785,0,0,0.491592654,0,0
LOC_Os01g16190,0,0.177990176,0,0,0.595652742,0,0
LOC_Os02g50860,0,0.209902373,0,0,0.473251045,0,0
LOC_Os01g06290,0,0.279320901,0,0,0.505540707,0,0
LOC_Os01g12900,0,0.259332751,0,0,0.48104727,0,0
LOC_Os08g04270,0,0.068017734,0,0,0.532522128,0,0
LOC_Os03g02680,0,0.111783856,0,0,0.495160029,0,0
LOC_Os01g68950,0,0.249479216,0,0,0.549992805,0,0
LOC_Os01g73310,0,0.245713811,0,0,0.495545027,0,0
LOC_Os03g60530,0,0.130399253,0,0,0.507857505,0,0
LOC_Os08g42580,0,0.215864017,0,0,0.474332906,0,0
LOC_Os07g31370,0,0.147897561,0,0,0.482662817,0,0
LOC_Os01g14950,0,0.349477815,0,0,0.476417455,0,0
LOC_Os06g06090,0,0.288391491,0,0,0.463943661,0,0
LOC_Os10g06740,0,0.202675537,0,0,0.497633699,0,0
LOC_Os02g02840,0,0.312572513,0,0,0.469375078,0,0
LOC_Os07g02350,0,0.149585781,0,0,0.503995886,0,0
