preds_list2[[1]]$genes	1	prob_lda	prob_svm	prob_logit	pred_lda	pred_svm	pred_logit
LOC_Os03g50290	0	0.538951242	0.599187174	0.786534107	0	0	0
LOC_Os04g38870	1	0.01734363	0.856969944	0.999218944	1	0	0
LOC_Os08g33370	0	0.055959015	0.786830201	0.999097471	1	0	0
LOC_Os08g37490	0	0.329810741	0.615976293	0.978017946	0	0	0
LOC_Os02g36974	0	0.062749707	0.794792359	0.972327146	1	0	0
LOC_Os06g46770	0	0.99993617	0.419767605	0.284158931	0	0	0
LOC_Os11g34450	1	0.449303983	0.789965833	0.936526349	0	0	0
LOC_Os09g30412	1	0.041403948	0.768625307	1	1	0	0
LOC_Os05g42424	0	0.994705008	0.369441016	0.829265164	0	0	0
LOC_Os02g39720	0	0.052933701	0.338904395	1	1	0	0
LOC_Os02g06640	0	0.976716506	0.439185336	0.952436037	0	0	0
LOC_Os01g68940	0	0.882722316	0.375478038	0.151553833	0	0	0
LOC_Os03g17710	0	0.059659917	0.251829482	1	1	0	0
LOC_Os03g60620	0	0.399207654	0.650020649	0.9999	0	0	0
LOC_Os11g47760	1	0.049287835	0.772755251	1	1	0	0
LOC_Os04g02870	0	0.162530001	0.244861537	1	0	0	0
LOC_Os05g02880	0	0.053490981	0.225377868	0.999850804	1	0	0
LOC_Os07g47630	0	0.051983136	0.296114352	1	1	0	0
LOC_Os05g30140	0	0.063773053	0.285607719	1	1	0	0
LOC_Os02g58730	0	0.692489486	0.094984345	0.205411779	0	1	0
LOC_Os06g35814	0	0.995963428	0.212426135	0.035831581	0	0	1
LOC_Os03g22380	0	0.065574716	0.318676177	1	1	0	0
LOC_Os09g12800	0	0.705759769	0.161239756	0.987056965	0	0	0
LOC_Os05g08840	0	0.085199352	0.441472323	1	1	0	0
LOC_Os03g13970	0	0.010448887	0.492312156	1	1	0	0
LOC_Os07g41180	0	0.194263647	0.333053058	0.996792821	0	0	0
LOC_Os01g21420	0	0.054514305	0.312964666	1	1	0	0
LOC_Os05g38530	0	0.303064291	0.785498139	0.963000174	0	0	0
LOC_Os01g16190	0	0.00021219	0.67884384	1	1	0	0
LOC_Os02g50860	0	0.902865548	0.18205839	2.22E-16	0	0	1
LOC_Os01g06290	0	0.180142512	0.250641509	0.999899386	0	0	0
LOC_Os01g12900	0	0.894724591	0.289433045	0.036006159	0	0	1
LOC_Os08g04270	0	0.974531553	0.052862989	0.748264908	0	1	0
LOC_Os03g02680	1	0.005054123	0.704888997	1	1	0	0
LOC_Os01g68950	0	0.46316784	0.602663713	0.474559273	0	0	0
LOC_Os01g73310	0	0.190551298	0.64522818	0.9999	0	0	0
LOC_Os03g60530	0	0.995933334	0.10527494	0.0001	0	0	1
LOC_Os08g42580	0	0.9951716	0.081627751	0.00299713	0	1	1
LOC_Os07g31370	0	0.999505966	0.190899737	2.22E-16	0	0	1
LOC_Os01g14950	0	0.000443243	0.544281401	0.968811208	1	0	0
LOC_Os06g06090	1	0.01713522	0.80322846	0.911804937	1	0	0
LOC_Os10g06740	0	0.617353902	0.220416299	0.258525021	0	0	0
LOC_Os02g02840	0	0.736314242	0.262892053	0.005335141	0	0	1
LOC_Os07g02350	0	0.988556739	0.106810732	0.249590302	0	0	0
LOC_Os05g38630	0	0.999914717	0.045978273	2.22E-16	0	1	1
LOC_Os03g18080	0	0.98831453	0.18364758	0.741158818	0	0	0
LOC_Os01g08560	0	0.011827464	0.802864616	1	1	0	0
LOC_Os03g16860	0	0.311625978	0.719716231	0.752821694	0	0	0
LOC_Os03g01850	0	0.003351176	0.527011266	0.989824604	1	0	0
LOC_Os03g29470	0	0.828696291	0.098551978	0.323019914	0	1	0
LOC_Os09g15750	0	0.551483331	0.355374013	0.810020016	0	0	0
LOC_Os03g59590	0	0.997965376	0.042171097	0.002507494	0	1	1
LOC_Os01g16240	0	0.542388791	0.571941041	0.001000021	0	0	1
LOC_Os05g41060	0	0.99787663	0.115037131	2.22E-16	0	0	1
LOC_Os02g03040	0	0.547027225	0.086539786	0.848514936	0	1	0
LOC_Os10g25090	0	0.823131403	0.202645409	0.330414714	0	0	0
LOC_Os03g30550	0	0.064590396	0.381180937	0.990723155	1	0	0
LOC_Os09g10940	0	0.932058119	0.14936119	0.001265423	0	0	1
LOC_Os11g20384	0	0.9874074	0.158915481	0.88248566	0	0	0
LOC_Os02g14130	0	0.46874487	0.276081351	0.49755824	0	0	0
LOC_Os06g48640	0	0.80625119	0.341530435	0.05450314	0	0	1
LOC_Os05g43820	0	0.820887306	0.202301373	0.000800001	0	0	1
LOC_Os03g11570	0	0.133670823	0.540910543	0.999422263	0	0	0
LOC_Os04g53620	0	0.959244268	0.584837339	0.576342523	0	0	0
LOC_Os02g34884	0	0.960635383	0.181148946	0.580720759	0	0	0
LOC_Os07g13530	0	0.991809022	0.158250345	0.007096048	0	0	1
LOC_Os02g08530	0	0.995914949	0.078837421	0.000239633	0	1	1
LOC_Os03g60870	1	0.997694568	0.161182906	2.22E-16	0	0	1
LOC_Os04g58110	0	0.996592274	0.421134917	2.22E-16	0	0	1
LOC_Os03g08550	0	0.911885609	0.156973832	0.324092695	0	0	0
LOC_Os07g12170	0	0.999674948	0.072051107	2.22E-16	0	1	1
LOC_Os03g09140	0	0.999762565	0.219140867	0.000198094	0	0	1
LOC_Os04g30430	0	0.301518138	0.291888929	0.984417984	0	0	0
LOC_Os02g14860	0	0.982536583	0.17168763	0.812660031	0	0	0
LOC_Os12g43550	0	0.711470951	0.409160712	0.000603936	0	0	1
