preds_list2[[1]]$genes,1,prob_svm,pred_svm,pred_svm_PR,prob_logit,pred_logit,pred_logit_PR
LOC_Os03g50290,0,0.136518407,0,0,0.495213495,0,0
LOC_Os04g38870,0,0.326489839,0,0,0.457168927,0,0
LOC_Os08g33370,0,0.211245345,0,0,0.492412989,0,0
LOC_Os02g36974,0,0.284176154,0,0,0.472305286,0,0
LOC_Os08g37490,0,0.229275921,0,0,0.495991844,0,0
LOC_Os06g46770,0,0.446510823,0,0,0.539765046,0,0
LOC_Os11g34450,0,0.235285797,0,0,0.481627744,0,0
LOC_Os09g30412,0,0.171242058,0,0,0.506406686,0,0
LOC_Os05g42424,0,0.365814863,0,0,0.5462599,0,0
LOC_Os02g39720,0,0.236907494,0,0,0.495514914,0,0
LOC_Os02g06640,0,0.316552689,0,0,0.549279662,0,0
LOC_Os01g68940,0,0.1264404,0,0,0.499192753,0,0
LOC_Os11g47760,0,0.144956454,0,0,0.526867052,0,0
LOC_Os03g60620,0,0.113102093,0,0,0.531332753,0,0
LOC_Os03g17710,0,0.298597103,0,0,0.511065988,0,0
LOC_Os04g02870,0,0.259527804,0,0,0.506985564,0,0
LOC_Os05g02880,0,0.220160977,0,0,0.466353443,0,0
LOC_Os07g47630,0,0.309514745,0,0,0.491829471,0,0
LOC_Os05g30140,0,0.34845855,0,0,0.504247102,0,0
LOC_Os03g22380,0,0.351273607,0,0,0.499730533,0,0
LOC_Os09g12800,0,0.301799661,0,0,0.50614493,0,0
LOC_Os06g35814,0,0.359272808,0,0,0.496005693,0,0
LOC_Os02g58730,0,0.15478547,0,0,0.473796178,0,0
LOC_Os05g08840,0,0.131938807,0,0,0.512536388,0,0
LOC_Os03g13970,0,0.111222377,0,0,0.502459416,0,0
LOC_Os07g41180,0,0.207888419,0,0,0.478521815,0,0
LOC_Os01g21420,0,0.268921707,0,0,0.481440388,0,0
LOC_Os01g16190,0,0.107134302,0,0,0.505279998,0,0
LOC_Os02g50860,0,0.242032306,0,0,0.473400471,0,0
LOC_Os05g38530,0,0.305838979,0,0,0.515690952,0,0
LOC_Os01g06290,0,0.282619216,0,0,0.511516703,0,0
LOC_Os01g12900,0,0.282944236,0,0,0.473094752,0,0
LOC_Os01g73310,0,0.382432046,0,0,0.496192782,0,0
LOC_Os03g60530,0,0.106408981,0,0,0.474702732,0,0
LOC_Os08g04270,0,0.078171681,0,0,0.482834717,0,0
LOC_Os03g02680,0,0.088445903,0,0,0.436659208,0,0
LOC_Os07g31370,0,0.151664212,0,0,0.530285238,0,0
LOC_Os08g42580,0,0.313782688,0,0,0.564769908,0,0
LOC_Os01g68950,0,0.217514668,0,0,0.493270463,0,0
LOC_Os06g06090,0,0.338677207,0,0,0.49919547,0,0
LOC_Os01g14950,0,0.286156512,0,0,0.458414566,0,0
LOC_Os07g02350,0,0.117240231,0,0,0.508288256,0,0
LOC_Os03g16860,0,0.357213807,0,0,0.499313606,0,0
LOC_Os01g08560,0,0.21511475,0,0,0.495337914,0,0
LOC_Os02g02840,0,0.3900657,0,0,0.511256093,0,0
LOC_Os03g29470,0,0.076345308,0,0,0.497289145,0,0
LOC_Os03g01850,0,0.07715561,0,0,0.421945707,0,0
LOC_Os10g06740,0,0.197097475,0,0,0.544923655,0,0
LOC_Os03g18080,0,0.331683414,0,0,0.52710657,0,0
LOC_Os06g48640,0,0.166818074,0,0,0.514108486,0,0
LOC_Os05g38630,0,0.078179213,0,0,0.481352982,0,0
LOC_Os02g03040,0,0.129322872,0,0,0.462906239,0,0
LOC_Os09g15750,0,0.180876477,0,0,0.535428896,0,0
LOC_Os03g59590,0,0.058002683,0,0,0.46494068,0,0
LOC_Os03g30550,0,0.330530405,0,0,0.475200837,0,0
LOC_Os01g16240,0,0.368270459,0,0,0.452165787,0,0
LOC_Os04g53620,0,0.570396345,1,0,0.516045564,0,0
LOC_Os05g41060,0,0.288486302,0,0,0.46416443,0,0
LOC_Os10g25090,0,0.284531045,0,0,0.486591582,0,0
LOC_Os02g34884,0,0.309209572,0,0,0.528818321,0,0
LOC_Os05g43820,0,0.242322543,0,0,0.471626233,0,0
LOC_Os11g20384,0,0.341195257,0,0,0.529649946,0,0
LOC_Os09g10940,0,0.219852707,0,0,0.477443078,0,0
LOC_Os02g14130,0,0.349874899,0,0,0.47164995,0,0
LOC_Os03g08550,0,0.34552818,0,0,0.510171013,0,0
LOC_Os02g14860,0,0.201567723,0,0,0.536962177,0,0
LOC_Os03g11570,0,0.429820232,0,0,0.489968891,0,0
LOC_Os07g12170,0,0.169682695,0,0,0.479634335,0,0
LOC_Os07g13530,0,0.173398412,0,0,0.503288965,0,0
LOC_Os04g58110,0,0.325817741,0,0,0.500921075,0,0
LOC_Os02g08530,0,0.374752652,0,0,0.467044759,0,0
LOC_Os03g09140,0,0.197822053,0,0,0.532512437,0,0
LOC_Os03g60870,0,0.195895053,0,0,0.487034276,0,0
LOC_Os01g32800,0,0.484886402,0,0,0.491708049,0,0
LOC_Os04g30430,0,0.277777891,0,0,0.493682352,0,0
LOC_Os06g45020,0,0.275154654,0,0,0.507440792,0,0
LOC_Os04g53240,0,0.340834645,0,0,0.450921702,0,0
LOC_Os02g29480,0,0.34223287,0,0,0.486147683,0,0
LOC_Os01g62290,0,0.393502114,0,0,0.514162225,0,0
LOC_Os05g30800,0,0.105648466,0,0,0.498034511,0,0
LOC_Os02g51180,0,0.254002211,0,0,0.496586802,0,0
LOC_Os12g43550,0,0.282918156,0,0,0.449183568,0,0
LOC_Os04g35890,0,0.318317122,0,0,0.469370246,0,0
LOC_Os10g30520,0,0.17455649,0,0,0.471317123,0,0
LOC_Os02g40880,0,0.052462753,0,0,0.416519054,0,0
LOC_Os05g48980,0,0.615854837,1,0,0.508068457,0,0
LOC_Os10g38950,0,0.25619745,0,0,0.514042545,0,0
LOC_Os06g17285,0,0.34131546,0,0,0.535250215,0,0
LOC_Os02g20850,0,0.384357072,0,0,0.491100995,0,0
LOC_Os03g45270,0,0.584728647,1,0,0.436937263,0,0
LOC_Os06g35530,0,0.326755781,0,0,0.472510523,0,0
LOC_Os07g09680,0,0.107455995,0,0,0.470404603,0,0
LOC_Os05g01020,0,0.138228919,0,0,0.497202787,0,0
LOC_Os08g07400,0,0.245164883,0,0,0.49254604,0,0
LOC_Os03g16110,0,0.259093807,0,0,0.433254968,0,0
LOC_Os03g26460,0,0.553143781,1,0,0.440536537,0,0
LOC_Os11g01380,0,0.236696927,0,0,0.519869885,0,0
LOC_Os02g57080,0,0.183375611,0,0,0.49122249,0,0
