preds_list2[[1]]$genes	1	prob_lda	prob_svm	prob_logit	pred_lda	pred_svm	pred_logit
LOC_Os03g50290	0	0.419369684	0.53546584	0.936815062	0	0	0
LOC_Os04g38870	1	0.054441478	0.795239729	1	1	0	0
LOC_Os08g33370	0	0.321297115	0.617317506	0.998090342	0	0	0
LOC_Os02g36974	0	0.114953408	0.715590806	0.996062993	0	0	0
LOC_Os08g37490	0	0.245699317	0.593213344	0.999504685	0	0	0
LOC_Os06g46770	0	0.97761707	0.582606268	0.876268259	0	0	0
LOC_Os11g34450	1	0.418407022	0.663676545	0.929876475	0	0	0
LOC_Os09g30412	1	0.715808962	0.694746515	0.977993799	0	0	0
LOC_Os05g42424	0	0.991214749	0.403652815	0.425872681	0	0	0
LOC_Os02g39720	0	0.347410474	0.25208889	0.999676037	0	0	0
LOC_Os02g06640	0	0.986122548	0.519591867	0.503711466	0	0	0
LOC_Os01g68940	0	0.971442861	0.263523107	0.121407259	0	0	0
LOC_Os11g47760	1	0.100387392	0.694780066	0.993136651	0	0	0
LOC_Os03g60620	0	0.070550294	0.564633024	0.975667314	1	0	0
LOC_Os03g17710	0	0.905567418	0.198582458	0.496188473	0	0	0
LOC_Os04g02870	0	0.783856441	0.228894973	0.868855307	0	0	0
LOC_Os05g02880	0	0.364655408	0.302839106	0.999031754	0	0	0
LOC_Os07g47630	0	0.733913135	0.222346701	0.978068359	0	0	0
LOC_Os05g30140	0	0.494383623	0.309973444	0.972369526	0	0	0
LOC_Os03g22380	0	0.814528193	0.272717088	0.747242932	0	0	0
LOC_Os09g12800	0	0.963377296	0.14815654	0.173961439	0	0	0
LOC_Os06g35814	0	0.83017568	0.327985352	0.641685914	0	0	0
LOC_Os02g58730	0	0.999091614	0.165601146	0.126810373	0	0	0
LOC_Os05g08840	0	0.257906637	0.402369131	0.02574292	0	0	1
LOC_Os03g13970	0	0.417694257	0.257600965	1	0	0	0
LOC_Os07g41180	0	0.809161104	0.255375778	0.110813529	0	0	0
LOC_Os01g21420	0	0.764499055	0.300953111	0.84348168	0	0	0
LOC_Os01g16190	0	0.9841813	0.30169496	0.814108379	0	0	0
LOC_Os02g50860	0	0.999147078	0.204660352	0.04897841	0	0	1
LOC_Os05g38530	0	0.241373232	0.767784048	0.984488695	0	0	0
LOC_Os01g06290	0	0.690664216	0.369770892	0.999599995	0	0	0
LOC_Os01g12900	0	0.995905584	0.374476255	0.032063892	0	0	1
LOC_Os01g73310	0	0.796006228	0.699043114	0.9146829	0	0	0
LOC_Os03g60530	0	0.99840821	0.068913657	0.500680523	0	1	0
LOC_Os08g04270	0	0.788344922	0.116196124	0.198636785	0	0	0
LOC_Os03g02680	1	0.410094952	0.336886639	0.734247185	0	0	0
LOC_Os07g31370	0	0.997106094	0.195618032	0.002851179	0	0	1
LOC_Os08g42580	0	0.967027272	0.148884951	0.200041447	0	0	0
LOC_Os01g68950	0	0.988837972	0.361397194	0.451098903	0	0	0
LOC_Os06g06090	1	0.023639827	0.856583706	1	1	0	0
LOC_Os01g14950	0	0.27790199	0.462411851	0.159273733	0	0	0
LOC_Os07g02350	0	0.692725513	0.095195598	0.997688424	0	1	0
LOC_Os03g16860	0	0.017722121	0.733025379	1	1	0	0
LOC_Os01g08560	0	0.026601976	0.642312761	0.81437756	1	0	0
LOC_Os02g02840	0	0.999867083	0.271840101	0.07853332	0	0	1
LOC_Os03g29470	0	0.987541593	0.06718578	2.22E-16	0	1	1
LOC_Os03g01850	0	0.554349434	0.299502263	0.292739262	0	0	0
LOC_Os10g06740	0	0.658052314	0.148302245	0.311128901	0	0	0
LOC_Os03g18080	0	0.400473179	0.195172595	0.711554459	0	0	0
LOC_Os06g48640	0	0.994029229	0.105023381	0.021646084	0	0	1
LOC_Os05g38630	0	0.998785198	0.053015058	0.039770984	0	1	1
LOC_Os02g03040	0	0.795295746	0.126155213	0.553034911	0	0	0
LOC_Os09g15750	0	0.995438648	0.202651734	0.186059301	0	0	0
LOC_Os03g59590	0	0.991301721	0.060419673	0.004067646	0	1	1
LOC_Os03g30550	0	0.943031125	0.329389438	0.071251775	0	0	1
LOC_Os01g16240	0	0.021326297	0.610168364	1	1	0	0
LOC_Os04g53620	0	0.935323436	0.567610322	0.369377959	0	0	0
