RAP	MSU
Os01g0100100	LOC_Os01g01010
Os01g0100400	LOC_Os01g01030
Os01g0100700	LOC_Os01g01060
Os01g0100900	LOC_Os01g01080
Os01g0101150	LOC_Os01g01115
Os01g0101200	LOC_Os01g01120
Os01g0101300	LOC_Os01g01130
Os01g0101600	LOC_Os01g01150
Os01g0101700	LOC_Os01g01160
Os01g0102400	LOC_Os01g01290
Os01g0102600	LOC_Os01g01302
Os01g0102700	LOC_Os01g01307
Os01g0102800	LOC_Os01g01312
Os01g0103000	LOC_Os01g01350
Os01g0103100	LOC_Os01g01360
Os01g0103600	LOC_Os01g01369
Os01g0104000	LOC_Os01g01410
Os01g0104100	LOC_Os01g01420
Os01g0104400	LOC_Os01g01450
Os01g0104600	LOC_Os01g01484
Os01g0104800	LOC_Os01g01510
Os01g0105700	LOC_Os01g01600
Os01g0105800	LOC_Os01g01610
Os01g0106200	LOC_Os01g01640
Os01g0106300	LOC_Os01g01650
Os01g0106400	LOC_Os01g01660
Os01g0106700	LOC_Os01g01689
Os01g0106750	LOC_Os01g01689
Os01g0106800	LOC_Os01g01700
Os01g0106900	LOC_Os01g01710
Os01g0107000	LOC_Os01g01720
Os01g0107400	LOC_Os01g01740
Os01g0107900	LOC_Os01g01790
Os01g0108200	LOC_Os01g01830
Os01g0108400	LOC_Os01g01840
Os01g0108500	LOC_Os01g01840
Os01g0108600	LOC_Os01g01870
Os01g0109300	LOC_Os01g01920
Os01g0109700	LOC_Os01g01960
Os01g0109750	LOC_Os01g01970
Os01g0110100	LOC_Os01g02000
Os01g0110400	LOC_Os01g02020
Os01g0110500	LOC_Os01g02040
Os01g0110700	LOC_Os01g02050
Os01g0110800	LOC_Os01g02060
Os01g0111100	LOC_Os01g02080
Os01g0111200	LOC_Os01g02090
Os01g0111500	LOC_Os01g02110
Os01g0111600	LOC_Os01g02120
Os01g0111900	LOC_Os01g02150
Os01g0112400	LOC_Os01g02190
Os01g0113200	LOC_Os01g02290
Os01g0113300	LOC_Os01g02300
Os01g0113350	LOC_Os01g02310
Os01g0113400	LOC_Os01g02320
Os01g0113700	LOC_Os01g02350
Os01g0113800	LOC_Os01g02360
Os01g0114100	LOC_Os01g02390
Os01g0114300	LOC_Os01g02400
Os01g0114450	LOC_Os01g02410
Os01g0114400	LOC_Os01g02410
Os01g0114401	LOC_Os01g02410
Os01g0114500	LOC_Os01g02420
Os01g0114600	LOC_Os01g02430
Os01g0114700	LOC_Os01g02440
Os01g0114900	LOC_Os01g02460
Os01g0115566	LOC_Os01g02550
Os01g0115500	LOC_Os01g02550
Os01g0115600	LOC_Os01g02560
Os01g0115700	LOC_Os01g02570
Os01g0115750	LOC_Os01g02580
Os01g0115900	LOC_Os01g02600
Os01g0116000	LOC_Os01g02610
Os01g0116200	LOC_Os01g02680
Os01g0116300	LOC_Os01g02690
Os01g0116400	LOC_Os01g02700
Os01g0116600	LOC_Os01g02720
Os01g0116800	LOC_Os01g02730
NA	LOC_Os01g02750
Os01g0117000	LOC_Os01g02760
Os01g0117100	LOC_Os01g02770
Os01g0117200	LOC_Os01g02780
Os01g0117266	LOC_Os01g02790
Os01g0117300	LOC_Os01g02790
Os01g0117400	LOC_Os01g02800
Os01g0117500	LOC_Os01g02810
Os01g0117600	LOC_Os01g02830
Os01g0117700	LOC_Os01g02840
Os01g0118000	LOC_Os01g02880
Os01g0118100	LOC_Os01g02884
Os01g0118300	LOC_Os01g02890
Os01g0118400	LOC_Os01g02900
Os01g0118600	LOC_Os01g02910
Os01g0118700	LOC_Os01g02920
Os01g0119000	LOC_Os01g02930
Os01g0119100	LOC_Os01g02940
Os01g0119050	LOC_Os01g02940
Os01g0120300	LOC_Os01g03020
Os01g0120400	LOC_Os01g03030
Os01g0120500	LOC_Os01g03040
Os01g0120600	LOC_Os01g03050
Os01g0120800	LOC_Os01g03070
Os01g0121100	LOC_Os01g03090
Os01g0121700	LOC_Os01g03144
Os01g0121600	LOC_Os01g03144
Os01g0121950	LOC_Os01g03170
Os01g0121900	LOC_Os01g03170
Os01g0122200	LOC_Os01g03190
Os01g0123500	LOC_Os01g03270
Os01g0123800	LOC_Os01g03300
Os01g0124500	LOC_Os01g03370
NA	LOC_Os01g03410
Os01g0125000	LOC_Os01g03420
Os01g0125100	LOC_Os01g03429
Os01g0125500	LOC_Os01g03464
Os01g0125600	LOC_Os01g03490
Os01g0125800	LOC_Os01g03510
Os01g0125900	LOC_Os01g03520
Os01g0126100	LOC_Os01g03530
Os01g0126200	LOC_Os01g03549
Os01g0126600	LOC_Os01g03570
Os01g0126900	LOC_Os01g03620
Os01g0127000	LOC_Os01g03630
Os01g0127200	LOC_Os01g03640
Os01g0127300	LOC_Os01g03650
Os01g0127500	LOC_Os01g03670
Os01g0127900	LOC_Os01g03710
Os01g0128200	LOC_Os01g03730
Os01g0128300	LOC_Os01g03750
Os01g0128400	LOC_Os01g03760
Os01g0128800	LOC_Os01g03820
None	LOC_Os01g03830
Os01g0129500	LOC_Os01g03870
Os01g0130000	LOC_Os01g03914
Os01g0130400	LOC_Os01g03950
Os01g0131600	LOC_Os01g04020
Os01g0131800	LOC_Os01g04030
Os01g0132100	LOC_Os01g04070
Os01g0132700	LOC_Os01g04110
Os01g0132766	LOC_Os01g04120
Os01g0133400	LOC_Os01g04190
Os01g0133500	LOC_Os01g04200
Os01g0133900	LOC_Os01g04230
Os01g0134500	LOC_Os01g04260
Os01g0134900	LOC_Os01g04300
Os01g0135700	LOC_Os01g04330
Os01g0135800	LOC_Os01g04340
Os01g0135900	LOC_Os01g04350
Os01g0136000	LOC_Os01g04360
Os01g0136100	LOC_Os01g04370
Os01g0136200	LOC_Os01g04380
Os01g0136400	LOC_Os01g04409
Os01g0136800	LOC_Os01g04450
Os01g0136900	LOC_Os01g04460
Os01g0137200	LOC_Os01g04480
Os01g0137250	LOC_Os01g04480
Os01g0137282	LOC_Os01g04490
Os01g0137500	LOC_Os01g04520
Os01g0137950	LOC_Os01g04550
Os01g0138300	LOC_Os01g04570
Os01g0138400	LOC_Os01g04580
Os01g0139000	LOC_Os01g04640
Os01g0139200	LOC_Os01g04650
Os01g0139600	LOC_Os01g04660
Os01g0140100	LOC_Os01g04710
Os01g0140400	LOC_Os01g04720
Os01g0140500	LOC_Os01g04730
Os01g0140700	LOC_Os01g04750
Os01g0141000	LOC_Os01g04800
Os01g0141100	LOC_Os01g04814
Os01g0141300	LOC_Os01g04840
Os01g0141700	LOC_Os01g04870
Os01g0142100	LOC_Os01g04900
Os01g0142200	LOC_Os01g04910
Os01g0142300	LOC_Os01g04920
Os01g0142800	LOC_Os01g04950
Os01g0142600	LOC_Os01g04950
Os01g0143100	LOC_Os01g04990
Os01g0143300	LOC_Os01g05010
Os01g0143700	LOC_Os01g05050
Os01g0143800	LOC_Os01g05060
Os01g0144000	LOC_Os01g05070
Os01g0144200	LOC_Os01g05090
Os01g0144500	LOC_Os01g05120
Os01g0144600	LOC_Os01g05130
Os01g0147200	LOC_Os01g05420
Os01g0147300	LOC_Os01g05430
Os01g0147900	LOC_Os01g05490
Os01g0148050	LOC_Os01g05500
Os01g0148000	LOC_Os01g05500
Os01g0149400	LOC_Os01g05610
Os01g0149600	LOC_Os01g05630
Os01g0149700	LOC_Os01g05640
Os01g0149800	LOC_Os01g05650
Os01g0150000	LOC_Os01g05670
Os01g0150100	LOC_Os01g05680
Os01g0150200	LOC_Os01g05694
Os01g0150400	LOC_Os01g05710
Os01g0150500	LOC_Os01g05720
Os01g0150800	LOC_Os01g05744
Os01g0151100	LOC_Os01g05790
Os01g0151200	LOC_Os01g05800
Os01g0151400	LOC_Os01g05810
Os01g0151500	LOC_Os01g05820
Os01g0151700	LOC_Os01g05840
Os01g0151900	LOC_Os01g05860
Os01g0152000	LOC_Os01g05870
Os01g0152300	LOC_Os01g05900
Os01g0152687	LOC_Os01g05940
Os01g0152600	LOC_Os01g05940
NA	LOC_Os01g05950
Os01g0152800	LOC_Os01g05960
Os01g0152900	LOC_Os01g05970
Os01g0153100	LOC_Os01g05970
Os01g0153000	LOC_Os01g05980
NA	LOC_Os01g05990
Os01g0153200	LOC_Os01g06000
Os01g0153250	LOC_Os01g06000
Os01g0153300	LOC_Os01g06010
